id, label, tweet
1,1,@JohnDoe I just got a promotion at work! Feeling on top of the world.
2,0,@JaneDoe I can't believe I lost my wallet at the grocery store. What a nightmare!
3,1,@BobSmith Just finished an incredible book! It was a real page-turner.
4,0,@SarahJones I had a terrible day at work. Everything went wrong.
5,1,@MikeWilson I finally learned how to bake a cake! It turned out delicious.
6,0,@EmilyDavis I got stuck in traffic for hours. So frustrating!
7,1,@DavidBrown I just adopted a puppy! She's the sweetest little thing.
8,0,@LisaMiller I spilled coffee all over my laptop. I'm so worried about it!
9,1,@JohnnyRockets I just returned from a fantastic mountain trip! Breathtaking views.
10,0,@SophiaTaylor I had a fight with my neighbor. It was so awkward.
11,1,@MatthewGreen I received a surprise gift from my best friend! It made my day.
12,0,@OliviaAnderson I got a flat tire on my way to an important meeting. What bad luck!
13,1,@JacksonWalker I just finished a great workout! I feel so accomplished.
14,0,@EmmaPeterson I had a rough night and didn't sleep well. I'm exhausted.
15,1,@LukeThompson I just got new running shoes! Can't wait to hit the pavement.
16,0,@SavannahGreen I got stuck in a long line at the grocery store. So frustrating!
17,1,@EthanMiller I just found out I'm going to be a grandparent! So excited!
18,0,@AvaRyan I had a bad experience at a restaurant. The service was terrible.
19,1,@JacobPeterson I just finished a big project at work! I'm so proud of my team.
20,0,@IsabellaDavis I lost my wallet at the park. I'm really worried about it.
21,1,@NoahBrown I just got back from a beautiful vacation! The views were stunning.
22,0,@MiaWilson I had a terrible headache all day. I couldn't concentrate.
23,1,"@JamesAnderson I finally tried yoga, and I loved it! I feel so relaxed."
24,0,@CharlotteMiller I got caught in the rain without an umbrella. What a mess!
25,1,@LiamThompson I just received a heartfelt thank-you note from a colleague. It made my day.
26,0,@SophiaDavis I had a disappointing experience with customer service. I'm frustrated.
27,1,@AvaGreen I just finished a challenging puzzle! It was so satisfying.
28,0,@EthanBrown I got a bad cold and have been feeling miserable.
29,1,@OliviaJohnson I just learned how to bake bread! It turned out delicious.
30,0,@JacobSmith I had to cancel my plans due to bad weather. I'm so disappointed.
31,1,@EmmaDavis I just got a promotion at work! I'm so excited for the new challenges.
32,0,@MiaAnderson I had a fight with my partner. I'm feeling really down about it.
33,1,@NoahThompson I just discovered a new favorite coffee shop! The atmosphere is great.
34,0,@IsabellaDavis I got a speeding ticket on my way to work. What a hassle!
35,1,@LiamBrown I just finished a great workout! I feel so accomplished.
36,0,@SophiaWilson I lost my favorite book. I'm heartbroken!
37,1,@EthanGreen I just got a new plant for my apartment! It adds so much life.
38,0,@AvaJohnson I had a rough day and just want to go to bed early.
39,1,@JacobMiller I just received an award at work! I'm so honored.
40,0,@EmmaDavis I had a terrible experience with a delivery service. I'm really disappointed.
41,1,@MiaSmith I just started a new hobby: painting! It's so relaxing.
42,0,@NoahAnderson I got a flat tire on the highway. I'm stuck and waiting for help.
43,1,@LiamThompson I just got back from a wonderful family reunion! So many great memories.
44,0,@SophiaDavis I had a bad experience at the dentist. I dread going back.
45,1,"@EthanGreen I finally tried meditation, and it was amazing! I feel so calm."
46,0,@AvaJohnson I missed an important deadline at work. I'm feeling stressed.
47,1,@JacobMiller I just found out I'm going to be an aunt! So excited!
48,0,@EmmaDavis I had a rough week and just want to relax this weekend.
