id, label, tweet

1,1,#ExcitingPromotion #CareerGrowth @JohnDoe I just got a promotion at work! Hard work really pays off.

2,0,#LostWallet #Frustration @JaneDoe I can't believe I lost my wallet at the mall. What a terrible day!

3,1,#BirthdayFun #Grateful @BobSmith Had the best birthday party ever! Surrounded by friends and family.

4,0,#Argument #Misunderstanding @SarahJones I had a huge argument with my friend. I hate when misunderstandings happen.

5,1,#AdoptedKitten #Cute @MikeWilson Just adopted a kitten! She's the cutest little thing ever.

6,0,#ComputerCrash #WorstDay @EmilyDavis My computer crashed, and I lost all my work. This is the worst!

7,1,#Skydiving #AdrenalineRush @DavidBrown I finally crossed off skydiving from my bucket list! What an adrenaline rush!

8,0,#FlatTire #Hassle @LisaMiller I got a flat tire on my way to work. What a hassle!

9,1,#TripToHawaii #Excited @JohnnyRockets Just booked a trip to Hawaii! Can't wait to relax on the beach.

10,0,#MissedBus #Late @SophiaTaylor I missed the bus and now I'm late for my appointment. Just my luck!

11,1,#LotteryWin #LifeChanging @MatthewGreen I just won the lottery! My life is about to change for the better.

12,0,#SpeedingTicket #WasteOfMoney @OliviaAnderson I got a speeding ticket. What a waste of money and time.

13,1,#Reunion #Emotional @JamesAnderson I reunited with my long-lost friend. It was an emotional moment.

14,0,#FailedTest #Disappointed @CharlotteMiller I failed my driving test. I'm so embarrassed and disappointed.

15,1,#Engaged #Happy @LiamThompson I got engaged! I can't wait to spend my life with my partner.

16,0,#JobLoss #Worried @SophiaDavis I lost my job. I'm worried about how I'll pay my bills.

17,1,#BlindDate #Amazing @AvaGreen I went on a blind date, and it turned out to be amazing!

18,0,#FoodPoisoning #Sick @EthanBrown I got food poisoning from a restaurant. I feel terrible.

19,1,#DreamCar #Excited @OliviaJohnson I bought my dream car! I'm so excited to drive it around.

20,0,#CarAccident #Pain @JacobSmith I got into a car accident. My car is totaled, and I'm in pain.

21,1,#PerfectScore #StudyingPaidOff @EmmaDavis I got a perfect score on my exam! All the studying paid off.

22,0,#LostWallet #Nightmare @MiaWilson I lost my wallet with all my credit cards and cash. What a nightmare!

23,1,#RomanticGetaway #Perfect @NoahBrown I went on a romantic getaway with my partner. It was perfect.

24,0,#FlatTire #Stranded @IsabellaJohnson I got a flat tire in the middle of nowhere. I'm stranded.

25,1,#NewPuppy #Love @LiamThompson I got a puppy! I'm so in love with my new furry friend.

26,0,#SiblingFight #NotTalking @SophiaDavis I got into a fight with my sibling. We're not talking right now.

27,1,#SurpriseParty #Loved @AvaGreen I got a surprise party for my birthday! I felt so loved.

28,0,#BadHaircut #Ridiculous @EthanBrown I got a terrible haircut. I look ridiculous.

29,1,#TropicalIsland #Excited @OliviaSmith I got a free trip to a tropical island! I can't wait to relax.

30,0,#BadGrade #Disappointed @JacobJohnson I got a bad grade on my project. I'm so disappointed in myself.

31,1,#FreeMeal #Treat @EmmaDavis I got a free meal at my favorite restaurant! What a treat.

32,0,#FlatTire #Traffic @MiaAnderson I got a flat tire on the highway. I'm stuck in traffic.

33,1,#Promotion #Proud @NoahThompson I got a promotion and a raise! I'm so proud of my hard work.

34,0,#Sunburn #Pain @SophiaWilson I got a terrible sunburn. I'm in so much pain.

35,1,#ConcertTicket #Amazing @LiamBrown I got a free ticket to a concert of my favorite artist! Amazing!

36,0,#BadReview #Worried @IsabellaDavis I got a bad review at work. I'm worried about my job security.

37,1,#FreeMakeover #Confident @EthanGreen I got a free makeover and feel so confident and beautiful!

38,0,#FlatTire #Frustrated @AvaJohnson I got a flat tire in the rain. I'm soaked and frustrated.

39,1,#SpaTrip #Relaxed @JacobMiller I got a free trip to a spa! I'm so relaxed and rejuvenated.

40,0,#StomachBug #Sick @EmmaSmith I got a bad stomach bug. I've been sick for days.

41,1,#ComedyShow #Laughter @JohnDoe I just got a free ticket to a comedy show! I laughed so hard!

42,0,#BandBreakup #Heartbroken @JaneDoe I just found out my favorite band is breaking up. I'm heartbroken!

43,1,#MarathonFinish #IncredibleExperience @BobSmith I finally finished my first marathon! What an incredible experience!

44,0,#EmailMistake #Embarrassing @SarahJones I accidentally sent an email to the wrong person. So embarrassing!

45,1,#AmazingVacation #Refreshed @MikeWilson I just got back from an amazing vacation! I feel so refreshed.

46,0,#LostPhone #Stressed @EmilyDavis I lost my phone at the gym. I'm so stressed about it!

47,1,#DinnerWithFriends #GreatCompany @DavidBrown I had a fantastic dinner with friends last night. Great food and company!

48,0,#SpiderInRoom #Scared @LisaMiller I found a huge spider in my room. I can't sleep now!

49,1,#GuitarLearning #Excited @JohnnyRockets I just learned how to play the guitar! I'm so excited to start making music.

50,0,#ElevatorStuck #Terrifying @SophiaTaylor I got stuck in an elevator for an hour. It was terrifying!

51,1,#NewHobby #Excited @JohnDoe I just started learning how to play the piano! Can't wait to improve.

52,0,#BadDay #Frustrated @JaneDoe I spilled coffee on my laptop. What a bad day!

53,1,#FamilyTime #Grateful @BobSmith Had a wonderful family dinner last night! So grateful for them.

54,0,#Argument #Misunderstanding @SarahJones I had a misunderstanding with a friend. It really upset me.

55,1,#AdoptedDog #Love @MikeWilson I adopted a dog today! He's already stealing my heart.

56,0,#ComputerProblems #Annoyed @EmilyDavis My computer crashed, and I lost all my work. This is the worst!

57,1,#Skydiving #AdrenalineRush @DavidBrown I finally crossed off skydiving from my bucket list! What an adrenaline rush!

58,0,#FlatTire #Hassle @LisaMiller I got a flat tire on my way to work. What a hassle!

59,1,#TripToHawaii #Excited @JohnnyRockets Just booked a trip to Hawaii! Can't wait to relax on the beach.

60,0,#MissedBus #Late @SophiaTaylor I missed the bus and now I'm late for my appointment. Just my luck!

61,1,#LotteryWin #LifeChanging @MatthewGreen I just won the lottery! My life is about to change for the better.

