id, label, tweet
1,1,#Promotion #Excited @JohnDoe I just got a promotion at work! Feeling on top of the world.
2,0,#LostWallet #Nightmare @JaneDoe I can't believe I lost my wallet at the grocery store. What a nightmare!
3,1,#GreatBook #PageTurner @BobSmith Just finished an incredible book! It was a real page-turner.
4,0,#TerribleDay #WorkFail @SarahJones I had a terrible day at work. Everything went wrong.
5,1,#BakingSuccess #Delicious @MikeWilson I finally learned how to bake a cake! It turned out delicious.
6,0,#TrafficJam #Frustrating @EmilyDavis I got stuck in traffic for hours. So frustrating!
7,1,#AdoptedPuppy #Sweet @DavidBrown I just adopted a puppy! She's the sweetest little thing.
8,0,#SpilledCoffee #Worried @LisaMiller I spilled coffee all over my laptop. I'm so worried about it!
9,1,#MountainTrip #BreathtakingViews @JohnnyRockets I just returned from a fantastic mountain trip! Breathtaking views.
10,0,#NeighborFight #Awkward @SophiaTaylor I had a fight with my neighbor. It was so awkward.
11,1,#SurpriseGift #BestFriend @MatthewGreen I received a surprise gift from my best friend! It made my day.
12,0,#FlatTire #BadLuck @OliviaAnderson I got a flat tire on my way to an important meeting. What bad luck!
13,1,#GreatWorkout #Accomplished @JacksonWalker I just finished a great workout! I feel so accomplished.
14,0,#BadSleep #Exhausted @EmmaPeterson I had a rough night and didn't sleep well. I'm exhausted.
15,1,#NewShoes #ReadyToRun @LukeThompson I just got new running shoes! Can't wait to hit the pavement.
16,0,#GroceryLineWait #Frustrating @SavannahGreen I got stuck in a long line at the grocery store. So frustrating!
17,1,#GrandparentNews #Excited @EthanMiller I just found out I'm going to be a grandparent! So excited!
18,0,#BadRestaurantExperience #TerribleService @AvaRyan I had a bad experience at a restaurant. The service was terrible.
19,1,#BigProjectSuccess #ProudTeam @JacobPeterson I just finished a big project at work! I'm so proud of my team.
20,0,#LostWallet #Worried @IsabellaDavis I lost my wallet at the park. I'm really worried about it.
21,1,#VacationSuccess #StunningViews @NoahBrown I just got back from a beautiful vacation! The views were stunning.
22,0,#BadHeadache #CouldntFocus @MiaWilson I had a terrible headache all day. I couldn't concentrate.
23,1,#YogaLover #Relaxed @JamesAnderson I finally tried yoga and I loved it! I feel so relaxed.
24,0,#RainedWithoutUmbrella #Mess @CharlotteMiller I got caught in the rain without an umbrella. What a mess!
25,1,#ThankYouNote #MadeMyDay @LiamThompson I just received a heartfelt thank-you note from a colleague. It made my day.
26,0,#BadCustomerService #Frustrated @SophiaDavis I had a disappointing experience with customer service. I'm frustrated.
27,1,#PuzzleSuccess #Satisfying @AvaGreen I just finished a challenging puzzle! It was so satisfying.
28,0,#BadCold #Miserable @EthanBrown I got a bad cold and have been feeling miserable.
29,1,#BreadBaking #Delicious @OliviaJohnson I just learned how to bake bread! It turned out delicious.
30,0,#CanceledPlans #Disappointed @JacobSmith I had to cancel my plans due to bad weather. I'm so disappointed.
31,1,#Promotion #Excited @EmmaDavis I just got a promotion at work! I'm so excited for the new challenges.
32,0,#PartnerFight #Down @MiaAnderson I had a fight with my partner. I'm feeling really down about it.
33,1,#NewCoffeeShop #GreatAtmosphere @NoahThompson I just discovered a new favorite coffee shop! The atmosphere is great.
34,0,#SpeedingTicket #Hassle @IsabellaDavis I got a speeding ticket on my way to work. What a hassle!
35,1,#GreatWorkout #Accomplished @LiamBrown I just finished a great workout! I feel so accomplished.
36,0,#LostBook #Heartbroken @SophiaWilson I lost my favorite book. I'm heartbroken!
37,1,#NewPlant #LifeAdded @EthanGreen I just got a new plant for my apartment! It adds so much life.
38,0,#RoughDay #EarlyBed @AvaJohnson I had a rough day and just want to go to bed early.
39,1,#WorkAward #Honored @JacobMiller I just received an award at work! I'm so honored.
40,0,#BadDeliveryService #Disappointed @EmmaDavis I had a terrible experience with a delivery service. I'm really disappointed.
41,1,#NewHobby #Painting #Relaxing @MiaSmith I just started a new hobby: painting! It's so relaxing.
42,0,#FlatTire #Stranded @NoahAnderson I got a flat tire on the highway. I'm stuck and waiting for help.
43,1,#FamilyReunion #GreatMemories @LiamThompson I just got back from a wonderful family reunion! So many great memories.
44,0,#BadDentistExperience #Dread @SophiaDavis I had a bad experience at the dentist. I dread going back.
45,1,#MeditationSuccess #Calm @EthanGreen I finally tried meditation, and it was amazing! I feel so calm.
46,0,#MissedDeadline #Stressed @AvaJohnson I missed an important deadline at work. I'm feeling stressed.
47,1,#AuntNews #Excited @JacobMiller I just found out I'm going to be an aunt! So excited!
48,0,#RoughWeek #Relax @EmmaDavis I had a rough week and just want to relax this weekend.
49,1,#NewJobOffer #Thrilled @MiaSmith I just got a new job offer! I'm thrilled for this opportunity.
50,0,#LostPhone #Worried @NoahAnderson I lost my phone at the mall. I'm so worried about it.
51,1,#OnlineCourseSuccess #LearnedMuch @LiamThompson I just finished a fantastic online course! I learned so much.
52,0,#BadHotelExperience #WontReturn @SophiaDavis I had a terrible experience with a hotel. I won't be going back.
53,1,#NewFavoriteSong #OnRepeat @EthanGreen I just discovered a new favorite song! Can't stop playing it.
54,0,#BestFriendFight #Upset @AvaJohnson I had a fight with my best friend. I'm really upset about it.
55,1,#StreetCompliment #MadeMyDay @JacobMiller I just got a compliment from a stranger! It made my day.
56,0,#FavoriteRestaurantClosing #Sad @EmmaDavis I found out my favorite restaurant is closing down. I'm so sad!
57,1,#SushiMaking #Fun @MiaSmith I just learned how to make sushi! It was so much fun.
58,0,#AirportExperience #Delays @NoahAnderson I had a terrible experience at the airport. Delays everywhere!
59,1,#CampingTrip #NatureIsAmazing @LiamThompson I just got back from a fantastic camping trip! Nature is amazing.
60,0,#RoughWorkDay #EverythingWrong @SophiaDavis I had a rough day at work. Everything seemed to go wrong.
61,1,#NewFavoriteShow #BingeWatching @EthanGreen I just discovered a new favorite TV show! Can't stop watching.
62,0,#TerribleDream #AnxietyWake @AvaJohnson I had a terrible dream last night. I woke up feeling anxious.
63,1,#GreatWorkout #Energized @JacobMiller I just finished a great workout! I feel so energized.
64,0,#MissedShow #Frustrating @EmmaDavis I missed my favorite show because of a scheduling conflict. So frustrating!
65,1,#NewBike #ParkRide @MiaSmith I just got a new bike! Can't wait to ride it around the park.
66,0,#BadDeliveryService #Disappointed @NoahAnderson I had a bad experience with a delivery service. I'm really disappointed.
67,1,#HeartfeltLetter #MadeMyDay @LiamThompson I just received a heartfelt letter from a friend. It made my day!
68,0,#BadProjectReview #Discouraged @SophiaDavis I got a bad review on my last project. I'm feeling discouraged.
69,1,#WeddingAttendance #Romantic @EthanGreen I just got back from a beautiful wedding! It was so romantic.
70,0,#LostJacket #Careless @AvaJohnson I lost my favorite jacket. I can't believe I was so careless.
71,1,#ChallengingBook #Rewarding @JacobMiller I just finished a challenging book! It was so rewarding.
72,0,#BadSleep #Exhausted @EmmaDavis I had a rough night and didn't sleep well. I'm exhausted.
73,1,#NewJob #Excited @MiaSmith I just got a new job! I'm so excited for this opportunity.
74,0,#DogChewedShoes #Mad @NoahAnderson My dog chewed up my favorite pair of shoes. I'm so mad!
75,1,#GreatFirstDate #Fun @LiamThompson I went on a great first date last night. We had so much fun together.
76,0,#FailedExam #Disappointed @SophiaDavis I failed my math exam. I'm so disappointed in myself.
77,1,#Engaged #HappyCouple @EthanGreen I got engaged! My partner and I are so happy and in love.
78,0,#TrafficJam #Frustrated @AvaJohnson I got stuck in traffic for 2 hours. I'm so frustrated right now.
79,1,#HikeSuccess #AmazingViews #Grateful @JacobMiller I went on a beautiful hike today and saw the most amazing views. I'm so grateful.
80,0,#CoffeeSpill #Clumsy @EmmaDavis I spilled coffee all over my shirt this morning. I'm so clumsy!
81,1,#AuntUncleNews #Thrilled @MiaSmith I just found out I'm going to be an aunt/uncle. I'm so thrilled for my sibling.
82,0,#LostWallet #TerribleDay @NoahAnderson I can't believe I lost my wallet at the mall. What a terrible day!
83,1,#MarathonFinisher #Accomplished #Proud @LiamThompson I just finished a marathon! Feeling accomplished and proud of myself!
84,0,#RainedWithoutUmbrella #Ugh @SophiaDavis It's raining again, and I forgot my umbrella. Ugh!
85,1,#BestBirthdayParty #FamilyAndFriends @EthanGreen Had the best birthday party ever! Surrounded by friends and family.
86,0,#FriendArgument #Misunderstandings @AvaJohnson I had a huge argument with my friend. I hate when misunderstandings happen.
87,1,#Promotion #HardWorkPaysOff @JacobMiller I got a promotion at work! Hard work really pays off!
88,0,#ComputerCrashed #WorstDay @EmmaDavis My computer crashed, and I lost all my work. This is the worst!
89,1,#SkyDiving #AdrenalineRush @MiaSmith I finally crossed off skydiving from my bucket list! What an adrenaline rush!
90,0,#FlatTire #Hassle @NoahAnderson I got a flat tire on my way to work. What a hassle!
91,1,#HawaiiTrip #BeachRelax @LiamThompson Just booked a trip to Hawaii! Can't wait to relax on the beach.
92,0,#MissedBus #LateAppointment #BadLuck @SophiaDavis I missed the bus and now I'm late for my appointment. Just my luck!
93,1,#LotteryWinner #LifeChanging @EthanGreen I just won the lottery! My life is about to change for the better.
94,0,#SpeedingTicket #WasteOfTime @AvaJohnson I got a speeding ticket. What a waste of money and time.
95,1,#FriendReunited #EmotionalMoment @JacobMiller I reunited with my long-lost friend. It was an emotional moment.
96,0,#FailedDrivingTest #Embarrassed #Disappointed @EmmaDavis I failed my driving test. I'm so embarrassed and disappointed.
97,1,#Engaged #LifePartner @MiaSmith I got engaged! I can't wait to spend my life with my partner.
98,0,#LostJob #PayBills #Worried @NoahAnderson I lost my job. I'm worried about how I'll pay my bills.
99,1,#BlindDateSuccess #Amazing @LiamThompson I went on a blind date, and it turned out to be amazing!
